date,price_eur_mwh
2020-12-31,50.006956521739134
2021-01-01,48.06041666666667
2021-01-02,55.350833333333334
2021-01-03,48.8825
2021-01-04,60.32666666666666
2021-01-05,58.7175
2021-01-06,57.6875
2021-01-07,70.16458333333334
2021-01-08,78.16625
2021-01-09,61.36708333333333
2021-01-10,57.495000000000005
2021-01-11,72.36291666666666
2021-01-12,66.92
2021-01-13,68.18666666666667
2021-01-14,74.90875
2021-01-15,79.95375
2021-01-16,57.56583333333333
2021-01-17,57.45333333333334
2021-01-18,66.07666666666667
2021-01-19,64.105
2021-01-20,56.96
2021-01-21,56.21208333333333
2021-01-22,56.187916666666666
2021-01-23,53.00208333333333
2021-01-24,50.74333333333333
2021-01-25,64.8725
2021-01-26,66.38375
2021-01-27,63.09458333333333
2021-01-28,56.552083333333336
2021-01-29,52.620000000000005
2021-01-30,48.83958333333334
2021-01-31,46.02375
2021-02-01,57.87625
2021-02-02,57.904583333333335
2021-02-03,54.143750000000004
2021-02-04,52.85333333333333
2021-02-05,52.98458333333334
2021-02-06,48.79291666666666
2021-02-07,42.31916666666667
2021-02-08,53.46083333333333
2021-02-09,64.43291666666667
2021-02-10,67.26166666666667
2021-02-11,78.26208333333334
2021-02-12,68.44625
2021-02-13,56.00875
2021-02-14,48.73333333333333
2021-02-15,56.682500000000005
2021-02-16,59.109166666666674
2021-02-17,56.09458333333333
2021-02-18,53.58958333333334
2021-02-19,51.559583333333336
2021-02-20,44.92291666666667
2021-02-21,34.22
2021-02-22,50.615
2021-02-23,52.848749999999995
2021-02-24,50.93333333333334
2021-02-25,51.602916666666665
2021-02-26,51.71666666666667
2021-02-27,48.12625
2021-02-28,42.90208333333334
2021-03-01,54.16041666666666
2021-03-02,55.44125
2021-03-03,55.74666666666667
2021-03-04,53.689166666666665
2021-03-05,54.025416666666665
2021-03-06,50.04208333333333
2021-03-07,47.17250000000001
2021-03-08,60.41166666666667
2021-03-09,61.89625
2021-03-10,54.649166666666666
2021-03-11,53.48291666666666
2021-03-12,54.87833333333333
2021-03-13,51.178333333333335
2021-03-14,34.19375
2021-03-15,54.33833333333333
2021-03-16,61.98
2021-03-17,62.656666666666666
2021-03-18,64.08291666666666
2021-03-19,64.19708333333334
2021-03-20,57.62
2021-03-21,49.89666666666667
2021-03-22,61.09375
2021-03-23,63.19625
2021-03-24,62.25375
2021-03-25,62.779583333333335
2021-03-26,62.3825
2021-03-27,55.6975
2021-03-28,40.047391304347826
2021-03-29,58.66916666666666
2021-03-30,58.80583333333333
2021-03-31,59.98041666666666
2021-04-01,54.57083333333333
2021-04-02,48.46625
2021-04-03,40.753750000000004
2021-04-04,33.0
2021-04-05,9.629583333333334
2021-04-06,58.23083333333333
2021-04-07,67.81791666666668
2021-04-08,73.96333333333332
2021-04-09,68.73708333333333
2021-04-10,62.11208333333334
2021-04-11,55.02125
2021-04-12,74.09583333333333
2021-04-13,81.65041666666666
2021-04-14,81.30499999999999
2021-04-15,82.75666666666667
2021-04-16,73.73583333333333
2021-04-17,63.95708333333334
2021-04-18,62.819583333333334
2021-04-19,81.74708333333334
2021-04-20,82.63291666666667
2021-04-21,75.50458333333333
2021-04-22,74.55708333333332
2021-04-23,67.51083333333334
2021-04-24,54.177083333333336
2021-04-25,40.649166666666666
2021-04-26,64.57375
2021-04-27,69.54125
2021-04-28,65.2075
2021-04-29,68.15333333333334
2021-04-30,71.95333333333333
2021-05-01,59.86875
2021-05-02,47.979166666666664
2021-05-03,61.95583333333334
2021-05-04,46.56333333333333
2021-05-05,60.076249999999995
2021-05-06,72.44125
2021-05-07,69.96875
2021-05-08,52.965833333333336
2021-05-09,2.9149999999999996
2021-05-10,57.65208333333334
2021-05-11,70.50541666666666
2021-05-12,68.27416666666666
2021-05-13,56.32416666666666
2021-05-14,66.44125
2021-05-15,63.37375
2021-05-16,41.91625
2021-05-17,67.25541666666668
2021-05-18,73.82416666666667
2021-05-19,74.95458333333333
2021-05-20,71.91791666666667
2021-05-21,46.32416666666666
2021-05-22,21.5475
2021-05-23,25.28
2021-05-24,56.13041666666667
2021-05-25,61.69291666666667
2021-05-26,69.2375
2021-05-27,75.425
2021-05-28,76.15625
2021-05-29,60.52875
2021-05-30,43.334583333333335
2021-05-31,69.13250000000001
2021-06-01,68.68666666666667
2021-06-02,65.90875
2021-06-03,65.07916666666667
2021-06-04,71.9975
2021-06-05,60.29208333333333
2021-06-06,53.4575
2021-06-07,75.57708333333333
2021-06-08,77.09583333333333
2021-06-09,76.26541666666667
2021-06-10,77.07541666666667
2021-06-11,74.395
2021-06-12,49.48291666666666
2021-06-13,29.12708333333333
2021-06-14,75.83
2021-06-15,82.71208333333333
2021-06-16,83.7325
2021-06-17,81.15583333333333
2021-06-18,81.98
2021-06-19,72.24833333333333
2021-06-20,54.038333333333334
2021-06-21,78.5775
2021-06-22,81.26333333333334
2021-06-23,88.59958333333333
2021-06-24,90.18166666666667
2021-06-25,86.13166666666666
2021-06-26,75.67416666666666
2021-06-27,65.77583333333332
2021-06-28,83.99708333333334
2021-06-29,91.69749999999999
2021-06-30,89.18041666666666
2021-07-01,88.27375
2021-07-02,96.31791666666668
2021-07-03,84.21666666666667
2021-07-04,81.63250000000001
2021-07-05,93.11625
2021-07-06,85.80333333333334
2021-07-07,97.53250000000001
2021-07-08,96.29375
2021-07-09,88.46916666666668
2021-07-10,79.00708333333334
2021-07-11,77.95916666666666
2021-07-12,91.24833333333333
2021-07-13,92.47708333333334
2021-07-14,84.72958333333334
2021-07-15,87.01041666666667
2021-07-16,84.89
2021-07-17,64.67583333333333
2021-07-18,45.58541666666667
2021-07-19,85.79791666666667
2021-07-20,91.56375000000001
2021-07-21,92.66458333333333
2021-07-22,89.53541666666666
2021-07-23,85.61125
2021-07-24,75.51958333333333
2021-07-25,62.53375
2021-07-26,87.50416666666666
2021-07-27,83.88583333333334
2021-07-28,77.5775
2021-07-29,60.80583333333333
2021-07-30,64.64083333333333
2021-07-31,32.83583333333333
2021-08-01,60.06666666666666
2021-08-02,73.42833333333333
2021-08-03,89.38208333333334
2021-08-04,92.49458333333332
2021-08-05,87.53625
2021-08-06,73.63
2021-08-07,63.31125
2021-08-08,5.931666666666666
2021-08-09,67.75166666666667
2021-08-10,88.12875000000001
2021-08-11,98.74708333333332
2021-08-12,101.02958333333333
2021-08-13,93.41250000000001
2021-08-14,69.08916666666667
2021-08-15,57.626666666666665
2021-08-16,67.80499999999999
2021-08-17,63.16291666666667
2021-08-18,80.99458333333332
2021-08-19,93.43458333333332
2021-08-20,99.87
2021-08-21,88.99416666666667
2021-08-22,76.93583333333333
2021-08-23,96.94166666666666
2021-08-24,97.72208333333333
2021-08-25,91.38333333333333
2021-08-26,94.0475
2021-08-27,96.6675
2021-08-28,87.06791666666668
2021-08-29,86.74624999999999
2021-08-30,101.95291666666667
2021-08-31,113.60583333333334
2021-09-01,115.14999999999999
2021-09-02,118.75583333333333
2021-09-03,110.29875
2021-09-04,105.70541666666666
