date,load_end_users_ch_mw,load_ti_mw,load_bl_bs_mw,load_sh_zh_mw,load_ge_vd_mw
2023-05-16,6261.116479255208,293.30595416666665,391.99998116666666,1072.7620388333332,777.5946405833333
2023-05-17,6014.606013130208,284.6860329583333,362.3713505,1036.2742914583334,742.3699827916666
2023-05-18,5022.860333244792,252.415015125,303.6328360833333,876.27879675,708.6859893750001
2023-05-19,5359.46227409375,315.81957179166665,323.24224029166663,944.7418141666667,752.4453984583333
2023-05-20,4981.8315199843755,322.1373233333333,315.7351448333333,867.374618875,774.7545920416666
2023-05-21,4528.882198177083,331.05621433333334,288.14957545833335,796.6812132083334,793.7987620833334
2023-05-22,5499.402224427083,282.8221280833333,354.70787049999996,959.333687875,758.9345543750001
2023-05-23,5700.650695630208,286.9897105,364.65624841666664,987.746362125,770.2841539583333
2023-05-24,5981.190734505209,291.24513729166665,374.86823983333335,1029.1049570416667,744.6084071250001
2023-05-25,5813.961054588542,317.221725125,363.94364820833334,1000.236531875,765.2539185833334
2023-05-26,5582.445451380208,310.0470695833333,350.3858114166667,962.5580484583334,789.25849575
2023-05-27,4800.717071567708,299.54459345833334,303.81420645833333,823.9054646666667,730.249941875
2023-05-28,4386.476873052084,292.77256612499997,277.5225447916667,756.31364325,739.520272375
2023-05-29,4580.024204124999,326.8705155,287.45838591666666,788.5372180416666,747.0795631249999
2023-05-30,5599.988267052083,286.35621283333336,352.04390595833337,958.883464125,762.371422875
2023-05-31,5706.279638880209,290.71804116666664,354.965822125,968.1078646249999,780.9048916666667
2023-06-01,5726.482065671876,281.2716727916667,355.891967125,975.7794264999999,742.3426702083334
2023-06-02,5659.6017009635425,271.5139127083333,351.5055610833333,966.1463929583333,783.2495524583333
2023-06-03,4909.443848567708,252.71793908333333,309.02060858333334,840.1179700416666,758.3487309583334
2023-06-04,4572.285813385417,287.7292796666666,286.838913875,787.7365624583334,763.569233625
2023-06-05,5619.70546471875,278.41905670833336,338.9133292916667,955.4157570833332,727.5151040416666
2023-06-06,5688.0286419218755,268.71495899999996,355.1128312916667,965.6025130416666,730.4551693333333
2023-06-07,5681.4597495052085,278.77151625,354.0503262083334,967.21580375,737.0470787916666
2023-06-08,5493.468359171875,249.702944,358.2587975833333,977.3874920833333,776.9588385416668
2023-06-09,5562.759495130208,277.84563333333335,354.8725280833333,960.413096375,763.3884482499999
2023-06-10,4869.852076317708,293.13099708333334,315.78516529166666,844.1279193333334,790.1998215416667
2023-06-11,4503.284542010417,281.740415875,293.626898625,787.3949517083333,818.9398572083334
2023-06-12,5591.77697434375,273.101124375,355.14662879166667,959.7267839166667,725.1377809166667
2023-06-13,5661.718915005208,298.80340483333333,360.8541445,960.9617274583334,834.2559090416667
2023-06-14,5599.702302630209,295.63934925,358.3495627083333,965.5624401250001,786.4257515833333
2023-06-15,5622.682997546875,279.35447500000004,360.44715791666664,971.8819152916667,739.911470125
2023-06-16,5633.845711046874,279.14233779166665,356.9495160833333,956.57178025,763.5852662083333
2023-06-17,4847.721231984375,254.8487222916667,312.28391841666667,834.6229155833333,724.1892480833334
2023-06-18,4517.43219084375,256.69067812500003,294.34025779166666,788.2298162916667,680.7665436666667
2023-06-19,5710.09505159375,283.709229125,366.713658125,984.4450840416666,752.0397728333334
2023-06-20,5835.725040005208,278.93162366666667,373.0272254166667,1011.78489025,765.94148025
2023-06-21,5879.510906838542,286.4558308333333,383.4496684583333,1019.8333978333334,789.7439580416667
2023-06-22,5951.583997630209,295.0248750416667,388.6205546666667,1021.6478912916667,786.2875471666666
2023-06-23,5632.947829296875,302.4566697916667,363.4809035,967.1164647916667,767.7764209166667
2023-06-24,4794.629923901041,280.2383336666667,312.57823820833335,829.72172375,755.2904565
2023-06-25,4482.839212302083,256.9067880833333,294.530321125,779.9885662500001,751.9487424583334
2023-06-26,5722.799555093749,293.3480926666667,366.30815095833333,981.7292580416666,832.8979598750001
2023-06-27,5746.1048037135415,320.3899656666667,363.5832909583333,974.5761359166667,791.6079921666666
2023-06-28,5723.696171380208,300.9312077083333,363.1018105416667,973.3768622916667,760.6829224583333
2023-06-29,5749.239403213542,259.15858695833333,370.51762887499996,982.8205672083333,770.2416571666666
2023-06-30,5863.938492296875,281.03206066666667,375.433576125,985.9585132083333,760.6055397916666
2023-07-01,4913.555683651041,278.97206166666666,312.62990145833334,837.4419524583333,946.068012375
2023-07-02,4566.602406677083,286.51440195833334,288.327958625,788.6129955416667,865.7967796666667
2023-07-03,5565.587497385416,320.88301695833337,350.0696419583333,952.1027510833334,893.5759368333333
2023-07-04,5709.063751296875,280.1236469583333,361.0282529583333,973.4004045833334,791.11007125
2023-07-05,5783.879077421875,323.1541265,354.78686808333333,981.3278413333334,766.6028980416667
2023-07-06,5643.240644005208,295.1877651666667,351.6208715833333,961.7340617083333,721.5582089999999
2023-07-07,5579.942207088541,302.1188594166667,348.75319125000004,960.7673724166666,722.1148678333334
2023-07-08,4909.326227734375,274.734307,310.89564733333333,856.76773525,684.954885
2023-07-09,4561.047135677083,266.889481625,290.394774875,810.495426625,676.5671697083334
2023-07-10,5751.291511343749,302.55346208333333,371.72393937500004,1013.6590090416666,767.38513075
2023-07-11,5909.844050796874,325.417289625,384.1991284166666,1038.0523725833334,792.5237771666666
2023-07-12,6018.624257713542,350.5841995,382.2106450833333,1043.706702625,788.3091922083332
2023-07-13,5660.667686838541,317.873595125,360.58545870833336,991.952228875,795.2184762916667
2023-07-14,5487.452329630208,323.89251075,352.70813341666667,959.0704475833332,756.1209833333334
2023-07-15,4878.047690151042,309.1296912083333,313.2092832916667,863.3646237500001,909.8678195416666
2023-07-16,4463.4627350104165,306.761938,284.18702387499997,784.8777742083333,727.1814157916666
2023-07-17,5462.7076403437495,313.76088654166665,350.2821029583333,942.2169641249999,738.0510198333333
2023-07-18,5632.846044296875,326.340115125,357.880391875,969.2803871666666,762.3373334583333
2023-07-19,5616.630635130208,316.8119795,360.017246125,975.0862292916667,756.8538029583333
2023-07-20,5411.286590088542,302.87101045833333,354.5750061666667,947.6653169583333,730.0735462083334
2023-07-21,5377.774503713542,291.057309625,345.7480092916667,929.4543005833333,715.029697125
2023-07-22,4546.845510234375,290.348033875,296.43611358333334,799.2354180000001,707.6019824166666
2023-07-23,4245.386546177083,305.77323004166664,278.61988337500003,746.1509621666668,820.3487582500001
2023-07-24,5279.88003621875,311.1504751666667,346.41034716666667,920.2791503333333,755.2202370416667
2023-07-25,5156.9733998802085,280.48978675,337.5486792916667,910.4845090416667,689.1046720833333
2023-07-26,5098.037856255208,288.93645787500003,324.465522,900.3767133333334,669.757291
2023-07-27,5015.330286671875,276.061052,330.3090803333333,896.1179187083334,669.8739487916666
2023-07-28,5081.345362088542,273.20166712500003,340.44229091666665,890.0626913333334,682.1075075416667
2023-07-29,4618.430724442708,269.83464383333336,308.48043091666665,799.5240609166667,725.810419625
2023-07-30,4109.752776052083,283.0055594583333,276.1366267083333,726.4992948333334,802.5892924166666
2023-07-31,4600.758559052084,286.5554364583333,303.89198404166666,813.1821065833333,788.69502875
2023-08-01,4361.475541494791,238.64434237499998,290.86690004166667,761.2780839166667,726.9978742916666
2023-08-02,4974.022902302083,278.2993519583333,337.11128916666667,892.501977375,769.7772108333334
2023-08-03,4951.847414046875,299.2679915,327.95607970833333,875.3438124583332,885.489483625
2023-08-04,5016.682093046875,241.966943875,335.4834373333333,880.3925650833334,658.0622830416667
2023-08-05,4480.2867133593745,218.11119383333335,299.795926625,792.1651809166666,649.1991005
2023-08-06,4298.195827552084,222.66721941666665,285.17646579166666,765.6474050416667,833.6325630416667
2023-08-07,5205.088664677083,239.1250385,342.29357741666666,909.7676925833333,764.5338551666667
2023-08-08,5209.912268796875,224.68271316666667,347.0010124583334,904.2837586666666,775.7003222916666
2023-08-09,5303.420275755208,225.93175391666668,355.5422545833333,923.137469625,712.555375375
2023-08-10,5262.167338505208,232.43705204166667,355.01735858333336,915.7719487916667,722.5379717916667
2023-08-11,5380.9750163385415,258.341635125,355.680941,925.2155497499999,700.8243448333333
2023-08-12,4903.988595359375,236.41673783333331,323.40565154166666,839.1615767916666,661.7932285833333
2023-08-13,4549.82486646875,255.061007875,304.84840470833336,797.933973875,713.909019375
2023-08-14,5592.119013677083,251.329974,375.54146,980.9271339166667,772.6615774166667
2023-08-15,5563.387009380208,221.16616883333333,380.3251942916667,1006.3494651666666,761.6561658333334
2023-08-16,5752.754458921875,262.95120733333334,382.987262375,1004.3266795416666,775.8240374583334
2023-08-17,5840.997049130208,282.2211958333333,388.69706654166663,1003.2941527916668,786.0205269583333
2023-08-18,5689.157026255209,284.3302057083333,375.2372923333333,980.0993334583333,758.4687659166666
2023-08-19,4986.864452067708,269.696813625,331.81871216666667,876.3637934583334,711.3808654583332
2023-08-20,4707.28288684375,272.58466604166665,313.508653625,836.2927935833333,683.5968142083333
2023-08-21,5930.3302898437505,314.3778280833333,391.9515819166666,1037.3888871666666,814.0835285416666
2023-08-22,6152.182308963541,355.3213632916666,403.2962161666667,1062.92020525,837.8783485416667
2023-08-23,6219.398834921875,337.68922795833333,400.6725127083334,1071.54835075,851.2969719166667
2023-08-24,6246.7861674635415,338.0361452083333,398.04396125,1064.4463532500001,859.5417091666667
2023-08-25,6128.292442838541,324.0099289583333,392.193362125,1041.9188707916667,830.7634604166666
2023-08-26,5174.877122234375,290.54876379166666,330.10859112500003,890.741211875,708.0582076249999
2023-08-27,4713.381044427083,329.04950483333334,298.67479637499997,824.95975,649.372156625
2023-08-28,5862.397453927083,341.12220191666665,362.28643825,1004.8641166666666,765.4274988333333
2023-08-29,5898.839331755208,310.7045639166667,368.93600491666666,1015.9611609583334,754.2945005833334
2023-08-30,5792.775434755208,316.56837716666666,364.5611355416667,981.6831251666667,784.5363309999999
2023-08-31,5839.724024921875,304.2669910416667,366.8462909583333,987.7067847499999,747.5160912083334
2023-09-01,5643.372142505209,296.88875724999997,361.45209795833335,959.9313901250001,757.2666669166666
2023-09-02,4852.335586276042,266.916950875,310.9267442916667,838.426387125,719.6529795833334
2023-09-03,4540.225296552083,263.61907333333335,292.84650875,789.0234492916667,698.1847032916667
2023-09-04,5636.988185968749,317.4902134166667,360.3783959166667,962.9255087083334,830.8769381249999
2023-09-05,5808.127137755208,308.9971464166667,372.39075683333334,976.809846,830.5590714583333
2023-09-06,5859.584812838541,284.28348416666665,372.05925816666667,984.0008067083332,785.0991622500001
2023-09-07,5847.758854713542,302.50392691666667,375.6008004166667,993.1724888333333,739.78024775
2023-09-08,5843.565417796875,302.60367916666667,371.7971577916667,992.4270635416666,761.7265195416667
2023-09-09,5047.556090067708,258.8433268333333,321.930297,873.8190415833333,712.8620000416666
2023-09-10,4632.76965334375,231.67944033333333,297.84147187499997,810.9386064583333,664.6689145833333
2023-09-11,5761.4336413437495,279.87545666666665,365.93369441666664,982.6987730833333,768.8862042083333
2023-09-12,5906.420428130208,287.9783845416667,371.91758775,1008.9404805,780.9968089166667
2023-09-13,6032.7175836302085,311.09369358333333,377.81226945833333,1020.1479808333333,803.959227625
2023-09-14,5823.012701296874,286.8908753333333,367.2382734166667,999.0129070416666,763.5052799166666
2023-09-15,5741.3271975625,306.34952549999997,354.26453645833334,976.559025875,748.4345076666667
2023-09-16,4998.712723166666,281.28882541666667,308.66588566666667,854.4868234166667,745.7138279583334
2023-09-17,4584.067425822916,253.87835504166665,284.689018125,805.5036297916666,651.1466051250001
2023-09-18,5854.193255927084,318.18944279166664,355.66172808333334,999.9307065833333,714.181093625
2023-09-19,5795.518045703125,313.83698258333334,349.56873037500003,986.0627724583334,853.0723284583333
2023-09-20,5782.275420703125,351.59898345833335,346.855942875,980.416094,914.02368475
2023-09-21,5879.954207286458,330.22448108333333,355.2182754583334,994.786518625,824.7729060416667
2023-09-22,5827.835692578125,401.5757775,342.37847650000003,994.2994912083333,782.6246753333334
2023-09-23,4978.825826583333,301.03744345833337,288.3656061666667,876.1232744583334,790.5025194166666
2023-09-24,4612.268211697917,286.4579719166667,264.4116807916667,814.7676125416666,843.6929878750001
2023-09-25,5619.74188996875,302.20598375000003,329.44657,978.9135401666667,859.5361699583333
2023-09-26,5743.477347786458,281.6253257916667,340.87352591666667,993.418353375,848.4983414583334
2023-09-27,5781.9501391614585,281.85920154166666,347.205382375,996.3830267916666,826.6907219166666
2023-09-28,5772.2808173281255,295.5023257916667,351.46874533333335,995.5213128333334,828.3078681666666
2023-09-29,5767.325404411458,282.62334416666664,345.45762716666667,984.9916816250001,834.536765375
2023-09-30,4947.333746958333,263.68327412499997,295.47072404166664,860.07383825,750.5741240000001
2023-10-01,4541.935683947917,252.61212004166666,272.52380808333334,805.9123324583334,720.9131236666667
